STATE,COUNTY,VARIABLE,POP
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:,656
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:,129
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:,8
Ohio,Franklin,Estimate!!Total:!!Europe:!!Northern Europe:,2168
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:,41
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:,125
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:,206
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:,11
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:,17
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:,5
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:,44
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:,13
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:,9
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:,9
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:,56
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:,423
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:,145
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:,36
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:,2192
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:,21
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:,90
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:,412
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:,57
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:,62
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:,81
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:,69
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:,29
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:,5
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:,67
Ohio,Delaware,Estimate!!Total:!!Europe:!!Southern Europe:,200
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Southern Europe:,13
Ohio,Fayette,Estimate!!Total:!!Europe:!!Southern Europe:,26
Ohio,Franklin,Estimate!!Total:!!Europe:!!Southern Europe:,1231
Ohio,Hocking,Estimate!!Total:!!Europe:!!Southern Europe:,8
Ohio,Knox,Estimate!!Total:!!Europe:!!Southern Europe:,17
Ohio,Licking,Estimate!!Total:!!Europe:!!Southern Europe:,80
Ohio,Logan,Estimate!!Total:!!Europe:!!Southern Europe:,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Southern Europe:,19
Ohio,Marion,Estimate!!Total:!!Europe:!!Southern Europe:,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Southern Europe:,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Southern Europe:,11
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Southern Europe:,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Southern Europe:,3
Ohio,Union,Estimate!!Total:!!Europe:!!Southern Europe:,51
Ohio,Delaware,Estimate!!Total:!!Europe:!!Eastern Europe:,746
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Eastern Europe:,446
Ohio,Fayette,Estimate!!Total:!!Europe:!!Eastern Europe:,8
Ohio,Franklin,Estimate!!Total:!!Europe:!!Eastern Europe:,6016
Ohio,Hocking,Estimate!!Total:!!Europe:!!Eastern Europe:,22
Ohio,Knox,Estimate!!Total:!!Europe:!!Eastern Europe:,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Eastern Europe:,275
Ohio,Logan,Estimate!!Total:!!Europe:!!Eastern Europe:,15
Ohio,Madison,Estimate!!Total:!!Europe:!!Eastern Europe:,166
Ohio,Marion,Estimate!!Total:!!Europe:!!Eastern Europe:,41
Ohio,Morrow,Estimate!!Total:!!Europe:!!Eastern Europe:,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Eastern Europe:,8
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Eastern Europe:,11
Ohio,Ross,Estimate!!Total:!!Europe:!!Eastern Europe:,0
Ohio,Union,Estimate!!Total:!!Europe:!!Eastern Europe:,55
Ohio,Delaware,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Fairfield,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Fayette,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Franklin,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Hocking,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Knox,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Licking,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Logan,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Madison,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Marion,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Morrow,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Perry,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Pickaway,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Ross,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Union,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
Ohio,Delaware,Estimate!!Total:!!Asia:!!Eastern Asia:,2394
Ohio,Fairfield,Estimate!!Total:!!Asia:!!Eastern Asia:,358
Ohio,Fayette,Estimate!!Total:!!Asia:!!Eastern Asia:,120
Ohio,Franklin,Estimate!!Total:!!Asia:!!Eastern Asia:,15896
Ohio,Hocking,Estimate!!Total:!!Asia:!!Eastern Asia:,59
Ohio,Knox,Estimate!!Total:!!Asia:!!Eastern Asia:,111
Ohio,Licking,Estimate!!Total:!!Asia:!!Eastern Asia:,467
Ohio,Logan,Estimate!!Total:!!Asia:!!Eastern Asia:,123
Ohio,Madison,Estimate!!Total:!!Asia:!!Eastern Asia:,148
Ohio,Marion,Estimate!!Total:!!Asia:!!Eastern Asia:,71
Ohio,Morrow,Estimate!!Total:!!Asia:!!Eastern Asia:,30
Ohio,Perry,Estimate!!Total:!!Asia:!!Eastern Asia:,0
Ohio,Pickaway,Estimate!!Total:!!Asia:!!Eastern Asia:,13
Ohio,Ross,Estimate!!Total:!!Asia:!!Eastern Asia:,75
Ohio,Union,Estimate!!Total:!!Asia:!!Eastern Asia:,489
Ohio,Delaware,Estimate!!Total:!!Asia:!!South Central Asia:,7845
Ohio,Fairfield,Estimate!!Total:!!Asia:!!South Central Asia:,1803
Ohio,Fayette,Estimate!!Total:!!Asia:!!South Central Asia:,0
Ohio,Franklin,Estimate!!Total:!!Asia:!!South Central Asia:,27744
Ohio,Hocking,Estimate!!Total:!!Asia:!!South Central Asia:,17
Ohio,Knox,Estimate!!Total:!!Asia:!!South Central Asia:,55
Ohio,Licking,Estimate!!Total:!!Asia:!!South Central Asia:,2852
Ohio,Logan,Estimate!!Total:!!Asia:!!South Central Asia:,57
Ohio,Madison,Estimate!!Total:!!Asia:!!South Central Asia:,110
Ohio,Marion,Estimate!!Total:!!Asia:!!South Central Asia:,151
Ohio,Morrow,Estimate!!Total:!!Asia:!!South Central Asia:,0
Ohio,Perry,Estimate!!Total:!!Asia:!!South Central Asia:,0
Ohio,Pickaway,Estimate!!Total:!!Asia:!!South Central Asia:,32
Ohio,Ross,Estimate!!Total:!!Asia:!!South Central Asia:,62
Ohio,Union,Estimate!!Total:!!Asia:!!South Central Asia:,1523
Ohio,Delaware,Estimate!!Total:!!Asia:!!South Eastern Asia:,1041
Ohio,Fairfield,Estimate!!Total:!!Asia:!!South Eastern Asia:,390
Ohio,Fayette,Estimate!!Total:!!Asia:!!South Eastern Asia:,115
Ohio,Franklin,Estimate!!Total:!!Asia:!!South Eastern Asia:,8755
Ohio,Hocking,Estimate!!Total:!!Asia:!!South Eastern Asia:,0
Ohio,Knox,Estimate!!Total:!!Asia:!!South Eastern Asia:,79
Ohio,Licking,Estimate!!Total:!!Asia:!!South Eastern Asia:,416
Ohio,Logan,Estimate!!Total:!!Asia:!!South Eastern Asia:,113
Ohio,Madison,Estimate!!Total:!!Asia:!!South Eastern Asia:,22
Ohio,Marion,Estimate!!Total:!!Asia:!!South Eastern Asia:,83
Ohio,Morrow,Estimate!!Total:!!Asia:!!South Eastern Asia:,126
Ohio,Perry,Estimate!!Total:!!Asia:!!South Eastern Asia:,4
Ohio,Pickaway,Estimate!!Total:!!Asia:!!South Eastern Asia:,0
Ohio,Ross,Estimate!!Total:!!Asia:!!South Eastern Asia:,127
Ohio,Union,Estimate!!Total:!!Asia:!!South Eastern Asia:,103
Ohio,Delaware,Estimate!!Total:!!Asia:!!Western Asia:,607
Ohio,Fairfield,Estimate!!Total:!!Asia:!!Western Asia:,76
Ohio,Fayette,Estimate!!Total:!!Asia:!!Western Asia:,0
Ohio,Franklin,Estimate!!Total:!!Asia:!!Western Asia:,5664
Ohio,Hocking,Estimate!!Total:!!Asia:!!Western Asia:,0
Ohio,Knox,Estimate!!Total:!!Asia:!!Western Asia:,8
Ohio,Licking,Estimate!!Total:!!Asia:!!Western Asia:,262
Ohio,Logan,Estimate!!Total:!!Asia:!!Western Asia:,0
Ohio,Madison,Estimate!!Total:!!Asia:!!Western Asia:,40
Ohio,Marion,Estimate!!Total:!!Asia:!!Western Asia:,140
Ohio,Morrow,Estimate!!Total:!!Asia:!!Western Asia:,0
Ohio,Perry,Estimate!!Total:!!Asia:!!Western Asia:,13
Ohio,Pickaway,Estimate!!Total:!!Asia:!!Western Asia:,58
Ohio,Ross,Estimate!!Total:!!Asia:!!Western Asia:,0
Ohio,Union,Estimate!!Total:!!Asia:!!Western Asia:,285
Ohio,Delaware,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",56
Ohio,Fairfield,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",98
Ohio,Fayette,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Franklin,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",156
Ohio,Hocking,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Knox,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Licking,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",8
Ohio,Logan,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Madison,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",6
Ohio,Marion,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Morrow,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Perry,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Pickaway,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Ross,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Union,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",0
Ohio,Delaware,Estimate!!Total:!!Africa:!!Eastern Africa:,697
Ohio,Fairfield,Estimate!!Total:!!Africa:!!Eastern Africa:,1120
Ohio,Fayette,Estimate!!Total:!!Africa:!!Eastern Africa:,7
Ohio,Franklin,Estimate!!Total:!!Africa:!!Eastern Africa:,24264
Ohio,Hocking,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Knox,Estimate!!Total:!!Africa:!!Eastern Africa:,39
Ohio,Licking,Estimate!!Total:!!Africa:!!Eastern Africa:,318
Ohio,Logan,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Madison,Estimate!!Total:!!Africa:!!Eastern Africa:,7
Ohio,Marion,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Morrow,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Perry,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Pickaway,Estimate!!Total:!!Africa:!!Eastern Africa:,0
Ohio,Ross,Estimate!!Total:!!Africa:!!Eastern Africa:,24
Ohio,Union,Estimate!!Total:!!Africa:!!Eastern Africa:,20
Ohio,Delaware,Estimate!!Total:!!Africa:!!Middle Africa:,78
Ohio,Fairfield,Estimate!!Total:!!Africa:!!Middle Africa:,81
Ohio,Fayette,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Franklin,Estimate!!Total:!!Africa:!!Middle Africa:,2561
Ohio,Hocking,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Knox,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Licking,Estimate!!Total:!!Africa:!!Middle Africa:,18
Ohio,Logan,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Madison,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Marion,Estimate!!Total:!!Africa:!!Middle Africa:,28
Ohio,Morrow,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Perry,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Pickaway,Estimate!!Total:!!Africa:!!Middle Africa:,38
Ohio,Ross,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Union,Estimate!!Total:!!Africa:!!Middle Africa:,0
Ohio,Delaware,Estimate!!Total:!!Africa:!!Northern Africa:,185
Ohio,Fairfield,Estimate!!Total:!!Africa:!!Northern Africa:,75
Ohio,Fayette,Estimate!!Total:!!Africa:!!Northern Africa:,0
Ohio,Franklin,Estimate!!Total:!!Africa:!!Northern Africa:,5283
Ohio,Hocking,Estimate!!Total:!!Africa:!!Northern Africa:,0
