STATE,COUNTY,VARIABLE,POP
Ohio,Delaware,Estimate!!Total:,18278
Ohio,Fairfield,Estimate!!Total:,6479
Ohio,Fayette,Estimate!!Total:,620
Ohio,Franklin,Estimate!!Total:,158798
Ohio,Hocking,Estimate!!Total:,192
Ohio,Knox,Estimate!!Total:,784
Ohio,Licking,Estimate!!Total:,6795
Ohio,Logan,Estimate!!Total:,670
Ohio,Madison,Estimate!!Total:,839
Ohio,Marion,Estimate!!Total:,987
Ohio,Morrow,Estimate!!Total:,330
Ohio,Perry,Estimate!!Total:,198
Ohio,Pickaway,Estimate!!Total:,361
Ohio,Ross,Estimate!!Total:,565
Ohio,Union,Estimate!!Total:,3261
Ohio,Delaware,Estimate!!Total:!!Europe:,2025
Ohio,Fairfield,Estimate!!Total:!!Europe:,733
Ohio,Fayette,Estimate!!Total:!!Europe:,78
Ohio,Franklin,Estimate!!Total:!!Europe:,11607
Ohio,Hocking,Estimate!!Total:!!Europe:,92
Ohio,Knox,Estimate!!Total:!!Europe:,232
Ohio,Licking,Estimate!!Total:!!Europe:,973
Ohio,Logan,Estimate!!Total:!!Europe:,83
Ohio,Madison,Estimate!!Total:!!Europe:,264
Ohio,Marion,Estimate!!Total:!!Europe:,127
Ohio,Morrow,Estimate!!Total:!!Europe:,113
Ohio,Perry,Estimate!!Total:!!Europe:,61
Ohio,Pickaway,Estimate!!Total:!!Europe:,25
Ohio,Ross,Estimate!!Total:!!Europe:,12
Ohio,Union,Estimate!!Total:!!Europe:,229
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:,656
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:,129
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:,8
Ohio,Franklin,Estimate!!Total:!!Europe:!!Northern Europe:,2168
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:,41
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:,125
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:,206
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:,11
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:,17
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:,5
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:,44
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:,13
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:,9
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:,9
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:,56
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,15
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,98
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,24
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,44
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark,0
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:!!Ireland,97
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:!!Ireland,0
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:!!Ireland,0
