STATE,COUNTY,VARIABLE,POP
Ohio,Delaware,Northern Europe,656
Ohio,Fairfield,Northern Europe,129
Ohio,Fayette,Northern Europe,8
Ohio,Franklin,Northern Europe,2168
Ohio,Hocking,Northern Europe,41
Ohio,Knox,Northern Europe,125
Ohio,Licking,Northern Europe,206
Ohio,Logan,Northern Europe,11
Ohio,Madison,Northern Europe,17
Ohio,Marion,Northern Europe,5
Ohio,Morrow,Northern Europe,44
Ohio,Perry,Northern Europe,13
Ohio,Pickaway,Northern Europe,9
Ohio,Ross,Northern Europe,9
Ohio,Union,Northern Europe,56
Ohio,Delaware,Western Europe,423
Ohio,Fairfield,Western Europe,145
Ohio,Fayette,Western Europe,36
Ohio,Franklin,Western Europe,2192
Ohio,Hocking,Western Europe,21
Ohio,Knox,Western Europe,90
Ohio,Licking,Western Europe,412
Ohio,Logan,Western Europe,57
Ohio,Madison,Western Europe,62
Ohio,Marion,Western Europe,81
Ohio,Morrow,Western Europe,69
Ohio,Perry,Western Europe,29
Ohio,Pickaway,Western Europe,5
Ohio,Ross,Western Europe,0
Ohio,Union,Western Europe,67
Ohio,Delaware,Southern Europe,200
Ohio,Fairfield,Southern Europe,13
Ohio,Fayette,Southern Europe,26
Ohio,Franklin,Southern Europe,1231
Ohio,Hocking,Southern Europe,8
Ohio,Knox,Southern Europe,17
Ohio,Licking,Southern Europe,80
Ohio,Logan,Southern Europe,0
Ohio,Madison,Southern Europe,19
Ohio,Marion,Southern Europe,0
Ohio,Morrow,Southern Europe,0
Ohio,Perry,Southern Europe,11
Ohio,Pickaway,Southern Europe,0
Ohio,Ross,Southern Europe,3
Ohio,Union,Southern Europe,51
Ohio,Delaware,Eastern Europe,746
Ohio,Fairfield,Eastern Europe,446
Ohio,Fayette,Eastern Europe,8
Ohio,Franklin,Eastern Europe,6016
Ohio,Hocking,Eastern Europe,22
Ohio,Knox,Eastern Europe,0
Ohio,Licking,Eastern Europe,275
Ohio,Logan,Eastern Europe,15
Ohio,Madison,Eastern Europe,166
Ohio,Marion,Eastern Europe,41
Ohio,Morrow,Eastern Europe,0
Ohio,Perry,Eastern Europe,8
Ohio,Pickaway,Eastern Europe,11
Ohio,Ross,Eastern Europe,0
Ohio,Union,Eastern Europe,55
Ohio,Delaware,"Europe, other",0
Ohio,Fairfield,"Europe, other",0
Ohio,Fayette,"Europe, other",0
Ohio,Franklin,"Europe, other",0
Ohio,Hocking,"Europe, other",0
Ohio,Knox,"Europe, other",0
Ohio,Licking,"Europe, other",0
Ohio,Logan,"Europe, other",0
Ohio,Madison,"Europe, other",0
Ohio,Marion,"Europe, other",0
Ohio,Morrow,"Europe, other",0
Ohio,Perry,"Europe, other",0
Ohio,Pickaway,"Europe, other",0
Ohio,Ross,"Europe, other",0
Ohio,Union,"Europe, other",0
Ohio,Delaware,Eastern Asia,2394
Ohio,Fairfield,Eastern Asia,358
Ohio,Fayette,Eastern Asia,120
Ohio,Franklin,Eastern Asia,15896
Ohio,Hocking,Eastern Asia,59
Ohio,Knox,Eastern Asia,111
Ohio,Licking,Eastern Asia,467
Ohio,Logan,Eastern Asia,123
Ohio,Madison,Eastern Asia,148
Ohio,Marion,Eastern Asia,71
Ohio,Morrow,Eastern Asia,30
Ohio,Perry,Eastern Asia,0
Ohio,Pickaway,Eastern Asia,13
Ohio,Ross,Eastern Asia,75
Ohio,Union,Eastern Asia,489
Ohio,Delaware,South Central Asia,7845
Ohio,Fairfield,South Central Asia,1803
Ohio,Fayette,South Central Asia,0
Ohio,Franklin,South Central Asia,27744
Ohio,Hocking,South Central Asia,17
